HD_LastUpdate,HD_Notes,Interference,aant_rotation_deg,actual_erp,amsl,antenna_type,app_id,banner,base_callsign,bc_mode,bearing,callsign,city,class,class_flag,country,create_ts,digital_erp,distance,erp,erphpk,erpvpk,facility_id,field_strength,format,format2,format3,format_id,frequency,haat,hagl,hd2_format,hd2_slogan,hd3_format,hd3_slogan,hd4_format,hd4_slogan,index,language_id,last_update_ts,lat,level_0,lon,market,mlb,mode,nba,new_erp,new_format,nfl,nhl,npr,owner,pi_code,population,prl,ps_info,radiotext,range_flag,rank,receiver_hagl,relay,search_lat,search_location,search_lon,service_code,slogan,sp,status_date,strong_iboc,supertranslator,timeShare,uneven_polarization
,,"['KDHT,IBOC,48.73']",,9.2,1765.0,NDIR,352d73b00197451ab995c1b6063ebeb7,,KYWY,,61,KYWY,PINE BLUFFS,C3,6.0,USA,2019-03-14T20:13:48.346Z,,40.89,9.2,9.2,9.2,183353,42.46,Variety,,,35.0,95.5,160.0,109.0,,,,,,,,,2019-03-06T00:00:00.000Z,41.4246944444,1768,104.1296666667,Cheyenne,,,,9.2,Variety,,,False,E MEDIA USA LLC,,"85,600",,,,14.6735143067,251.0,1855,,41.14,"Cheyenne, WY",-104.8202,FM,,WY,2019-05-21T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.1,485.0,NDIR,25076f91732957b90173298902a10000,,K208EX,,55,K208EX,BRANDON,D,2.5,USA,2020-07-07T09:48:31.717Z,,8.52,0.1,0.1,0.1,77977,69.05,Contemporary Christian,,,12.0,89.5,,44.0,,,,,,,,,2020-07-08T00:00:00.000Z,43.6171944444,166,96.5922777778,Sioux Falls,,,,0.1,Contemporary Christian,,,False,UNIVERSITY OF NORTHWESTERN - ST. PAUL,,"235,900",,,,29.3427230047,180.0,443,WJRF 89.5,43.546,"Sioux Falls, SD",-96.7313,FX,LIFE-FM 97.3,SD,2020-07-13T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.25,496.0,NDIR,4c7eda9b4f834e998ab0c1b6063ebeb7,,K227CZ,,284,K227CZ,SIOUX FALLS,D,3.5,USA,2019-03-14T20:10:50.829Z,,3.36,0.25,0.25,0.25,94138,78.58,80'S Hits,,,162.0,93.3,,45.0,,,,,,,,,2016-05-31T00:00:00.000Z,43.55775,297,96.7964444444,Sioux Falls,,,,0.25,80'S Hits,,,False,"CUP O' DIRT, LLC",,"235,900",,,,104.1666666667,180.0,443,KZOY-1520,43.546,"Sioux Falls, SD",-96.7313,FX,SUNNY RADIO 93.3,SD,2016-06-16T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,861.0,DRL,c52f33a27a6c4c3fad8dc1b6063ebeb7,,K231DG,,58,K231DG,PIPESTONE,D,3.5,USA,2019-03-14T20:14:13.819Z,,46.07,0.25,0.25,0.25,202035,46.34,Country,,,13.0,94.1,,305.0,,,,,,,,,2018-09-07T00:00:00.000Z,43.89775,326,95.9475277778,,,,,0.25,Country,,,False,"CHRISTENSEN BROADCASTING, LLC",,,,,,7.5971347949,,443,KLOH-1050,43.546,"Sioux Falls, SD",-96.7313,FX,BLAZIN' COUNTRY,MN,2018-09-28T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,608.0,NDIR,25076f9192b946920192dea2afe11d33,,K251BH,,111,K251BH,SIOUX FALLS,D,3.5,USA,2024-10-30T14:14:15.624Z,,8.27,0.25,0.25,0.25,77798,72.71,Sports,,,29.0,98.1,93.8,200.0,,,,,,,,,2024-10-31T00:00:00.000Z,43.5030555556,468,96.5772222222,Sioux Falls,,,,0.25,Sports,Vikings,Wild,False,"MIDWEST COMMUNICATIONS, INC.",,"235,900",,,,42.3216444982,180.0,443,KWSN-1230,43.546,"Sioux Falls, SD",-96.7313,FX,ALL SPORTS RADIO,SD,2025-03-24T00:00:00.000Z,False,1.0,False,0.0
,,"['KSOO-FM,adjacent,80.81']",,0.205,858.3,NDIR,25076f918a43681a018a4c6868380f7a,,K257FP,,58,K257FP,PIPESTONE,D,3.5,USA,2023-08-31T12:23:45.424Z,,46.07,0.205,0.205,0.205,139317,45.46,Country,,,13.0,99.3,,302.0,,,,,,,,,2023-08-31T00:00:00.000Z,43.8977777778,515,95.9475,,,,,0.205,Country,,,False,"CHRISTENSEN BROADCASTING, LLC",,,,,,7.5971347949,,443,KJOE 106.1,43.546,"Sioux Falls, SD",-96.7313,FX,BLAZIN' COUNTRY,MN,2023-09-26T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,560.0,NDIR,25076ff37ad3ae6e017ad5f6c87301b0,,K272FZ,,153,K272FZ,SIOUX FALLS,D,3.5,USA,2021-07-23T20:42:38.040Z,,5.12,0.25,0.25,0.25,201094,76.95,Sports,,,29.0,102.3,,120.0,,,,,,,,,2021-07-26T00:00:00.000Z,43.4799722222,602,96.6850555556,Sioux Falls,Twins,,,0.25,Sports,Packers,,False,"Townsquare License, LLC",,"235,900",,,,68.359375,180.0,443,KSOO-1000,43.546,"Sioux Falls, SD",-96.7313,FX,ESPN 102.3 FM AM 1000,SD,2021-09-15T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,493.0,NDIR,b9411f16c7d84c5b94a4c1b6063ebeb7,,K286CN,,137,K286CN,SIOUX FALLS,D,3.5,USA,2019-03-14T20:08:36.798Z,,0.36,0.25,0.25,0.25,21594,105.28,Talk,,,32.0,105.1,,54.0,,,,,,,,,2017-10-18T00:00:00.000Z,43.5421944444,698,96.7264444444,Sioux Falls,,,,0.25,Talk,,,False,"MIDWEST COMMUNICATIONS, INC.",,"235,900",,,,972.2222222222,180.0,443,KELO-1320,43.546,"Sioux Falls, SD",-96.7313,FX,KELO AM 1320 & 107.9 FM,SD,2017-10-24T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.22,506.0,NDIR,25076ff375b467520175d682b6170a38,,K288GA,,213,K288GA,SIOUX FALLS,D,3.5,USA,2020-11-17T09:01:31.839Z,,4.87,0.22,0.22,0.22,138081,73.79,Contemporary Christian,,,12.0,105.5,67.5,53.1,,,,,,,,,2020-11-17T00:00:00.000Z,43.4872222222,705,96.7848333333,Sioux Falls,,,,0.22,Contemporary Christian,,,False,UNIVERSITY OF NORTHWESTERN - ST. PAUL,,"235,900",,,,71.8685831622,180.0,443,KNWC 96.5,43.546,"Sioux Falls, SD",-96.7313,FX,LIFE 96.5,SD,2020-11-23T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,469.0,NDIR,550c6c1e42184ef99308c1b6063ebeb7,,K293BQ,,268,K293BQ,SIOUX FALLS,D,3.5,USA,2019-03-14T20:11:21.507Z,,1.62,0.25,0.25,0.25,138726,88.11,Religious Teaching,,,362.0,106.5,22.8,38.0,,,,,,,,,2014-01-14T00:00:00.000Z,43.5449722222,733,96.7636666667,Sioux Falls,,,,0.25,Religious Teaching,,,False,"VCY AMERICA, INC.",,"235,900",,,,216.049382716,180.0,443,KVCF 90.5,43.546,"Sioux Falls, SD",-96.7313,FX,CHRISTIAN INFORMATION RADIO,SD,2014-02-05T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.25,506.0,NDIR,a8e21f9b12194599a976c1b6063ebeb7,,K298CY,,213,K298CY,SIOUX FALLS,D,3.5,USA,2019-05-07T20:28:51.232Z,,4.87,0.25,0.25,0.25,202254,74.48,Religious Teaching,,,362.0,107.5,,53.0,,,,,,,,,2019-05-03T00:00:00.000Z,43.4871944444,772,96.7847777778,Sioux Falls,,,,0.25,Religious Teaching,,,False,UNIVERSITY OF NORTHWESTERN-ST. PAUL,,"235,900",,,,71.8685831622,180.0,443,KNWC 1270,43.546,"Sioux Falls, SD",-96.7313,FX,FAITH 1270,SD,2019-05-06T00:00:00.000Z,False,1.0,False,0.0
,,[],,100.0,766.0,NDIR,feef4c5048bc47a98a24c1b6063ebeb7,,KARZ,,22,KARZ,MARSHALL,C1,10.0,USA,2019-03-14T20:08:56.109Z,,54.93,100.0,100.0,100.0,35127,59.93,Classic Hits,,,7.0,99.7,213.0,167.0,,,,,,,,,2017-10-27T00:00:00.000Z,44.2824722222,812,96.3155833333,,,,,100.0,Classic Hits,,,False,"SUBARCTIC MEDIA, LLC",11D3,,,,,18.2049881668,,443,,43.546,"Sioux Falls, SD",-96.7313,FM,GREATEST HITS 99.7 KARZ,MN,2017-11-20T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.68,497.0,OTS,277c0ec3f23748609679c1b6063ebeb7,,KAUR,,196,KAUR,SIOUX FALLS,A,4.0,USA,2019-03-14T20:07:49.094Z,,1.37,0.68,0.68,0.68,3239,95.07,News/Talk,Talk,,21.0,89.1,56.0,48.0,,,,,,,,,1987-01-29T00:00:00.000Z,43.5269166667,821,96.7386388889,Sioux Falls,,,,0.68,News,,,True,Augustana College Association,1219,"235,900",,,,291.9708029197,180.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,MPR NEWS,SD,1987-10-20T00:00:00.000Z,False,0.0,False,0.0
,,"['KWYR-FM,same-channel 5010,36.2']",,100.0,703.0,NDIR,44a9c8aca5cd4b1bad5fc1b6063ebeb7,,KBRK,,339,KBRK-FM,BROOKINGS,C1,10.0,USA,2019-03-14T20:08:25.109Z,,58.73,100.0,100.0,100.0,15261,48.72,Hot AC,,,39.0,93.7,174.0,139.0,,,,,,,,,1991-08-22T00:00:00.000Z,44.3393888889,870,97.1547777778,,,,,100.0,Hot AC,,,False,Alpha 3E Licensee LLC,1468,,,B93.7 - HOTTEST HITS,MYB937.COM,17.0270730461,,443,,43.546,"Sioux Falls, SD",-96.7313,FM,B 93.7 FM,SD,1992-04-21T00:00:00.000Z,False,0.0,False,0.0
,,[],,6.0,513.5,DRL,b63c5f24ae8c4fc98005c1b6063ebeb7,,KCSD,,63,KCSD,SIOUX FALLS,A,4.0,USA,2019-03-14T20:09:42.497Z,,4.27,6.0,6.0,6.0,60485,96.39,News/Talk/Classical,Talk,Classical,93.0,90.9,80.0,53.3,Classical,Classical 24,,,,,,,2007-12-27T00:00:00.000Z,43.5744166667,938,96.6555833333,Sioux Falls,,HD,,6.0,News,,,True,SOUTH DAKOTA BOARD OF DIRECTORS FOR EDUCATIONAL TELECOMMUNIC,171F,"235,900",,,,93.6768149883,180.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,SOUTH DAKOTA PUBLIC BROADCASTING,SD,2008-01-23T00:00:00.000Z,False,0.0,False,0.0
,,[],,37.0,665.0,NDIR,25076f9198d1eaab019915abfbbf08e3,,KELO,,331,KELO-FM,SIOUX FALLS,C2,7.0,USA,2025-09-04T13:00:15.928Z,,16.12,37.0,37.0,37.0,34950,84.97,Hot AC,,,39.0,101.9,173.0,171.0,,,,,,,,,2025-09-24T00:00:00.000Z,43.7495555556,1002,96.8887777778,Sioux Falls,,,,37.0,Hot AC,,,False,"MIDWEST COMMUNICATIONS, INC.",1BBC,"235,900",,KELO FM -  Song/Artist,Buy Local  KELO FM - Song/Artist,43.4243176179,180.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,101.9 KELO FM,SD,2025-09-29T00:00:00.000Z,False,0.0,False,0.0
,,[],,21.0,732.0,NDIR,6f8cb2ba143a4681b7f6c1b6063ebeb7,,KELQ,,351,KELQ,FLANDREAU,C2,7.0,USA,2019-03-14T20:09:01.283Z,,29.32,21.0,21.0,21.0,36933,75.81,Talk,,,32.0,107.9,232.0,222.0,,,,,,,,,2018-12-18T00:00:00.000Z,43.9655277778,1003,96.8200555556,,,,,21.0,Talk,,,False,"MIDWEST COMMUNICATIONS, INC.",1BBE,,,KELO.COM,KELO News Talk 1320,23.8744884038,,443,,43.546,"Sioux Falls, SD",-96.7313,FM,KELO AM 1320-107.9 FM,SD,2019-01-31T00:00:00.000Z,False,0.0,False,0.0
,,"['KOLB,Same Channel,29.53', 'KRSD,IBOC,99.67', 'KRSD,adjacent,99.67']",,50.0,725.0,OTS,5315cf6b59c14edf91c4c1b6063ebeb7,,KESD,,336,KESD,BROOKINGS,C1,10.0,USA,2019-03-14T20:09:37.290Z,,59.93,50.0,50.0,50.0,58359,45.06,News/Talk/Classical,Talk,Classical,93.0,88.3,190.0,191.0,Classical,Classical 24,,,,,,,1987-01-08T00:00:00.000Z,44.3360555556,1006,97.2283888889,,,HD,,50.0,News,,,True,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,1C67,,,SDPB,"SDPB Station  KESD 88.3 serving Brookings, Huron & Mitchel",16.6861338228,,443,,43.546,"Sioux Falls, SD",-96.7313,FM,SOUTH DAKOTA PUBLIC BROADCASTING,SD,1987-09-16T00:00:00.000Z,False,0.0,False,0.0
,,"['KQSF,adjacent,80.46']",,100.0,646.0,NDIR,6e80cb02d83546a99060c1b6063ebeb7,,KGLI,,163,KGLI,SIOUX CITY,C1,10.0,USA,2019-03-14T20:08:09.587Z,,74.45,100.0,100.0,100.0,8771,44.9,Adult Contemporary,,,40.0,95.5,274.0,213.0,,,,,,,,,1989-12-11T00:00:00.000Z,42.5146944444,1061,96.3038888889,Sioux City,,,,100.0,Adult Contemporary,,,False,iHeartMedia,A2FE,"102,800",,KG95, Listen to win concert tickets....from your Concert Leader K,13.4318334453,244.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,KG-95,IA,1991-03-26T00:00:00.000Z,False,0.0,False,0.0
,,[],,25.0,531.0,NDIR,5d4b87be65b34b079174c1b6063ebeb7,,KGWD,,42,KGWD,SIOUX FALLS,C3,6.0,USA,2019-03-14T20:09:42.497Z,,8.85,25.0,25.0,25.0,60487,96.35,Religious Teaching,,,362.0,94.5,87.9,81.4,,,,,,,,,2018-06-04T00:00:00.000Z,43.6413611111,1078,96.6131111111,Sioux Falls,,,,25.0,Religious Teaching,,,False,Real Presence Radio,2217,"235,900",,YOUR FAITH FAMILY,KGWD 94.5 FM - Sioux Falls,67.7966101695,180.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,REAL PRESENCE RADIO,SD,2018-07-02T00:00:00.000Z,False,0.0,False,0.0
,,[],,25.0,523.0,NDIR,05729c7a9e3e449597edc1b6063ebeb7,,KIHK,,124,KIHK,ROCK VALLEY,C3,6.0,USA,2019-03-14T20:09:36.185Z,,25.11,25.0,25.0,25.0,57074,66.98,Country,,,13.0,106.9,100.0,96.0,,,,,,,,,1997-09-17T00:00:00.000Z,43.3410833333,1122,96.3178055556,Sioux Falls,,,,25.0,Country,,,False,"COMMUNITY FIRST BROADCASTING, LLC",25E0,"235,900",,KIHK,KIHK,23.8948626045,180.0,443,,43.546,"Sioux Falls, SD",-96.7313,FM,HAWK COUNTRY KIHK,IA,1997-12-17T02:00:00.000Z,False,0.0,False,0.0
,,[],,100.0,721.0,NDIR,2ccf43ee2bd84f3a8e92c1b6063ebeb7,,KIKN,,264,KIKN-FM,SALEM,C1,10.0,USA,2019-03-14T20:09:44.590Z,,35.86,100.0,100.0,100.0,61328,70.89,Country,,,13.0,100.5,286.8,284.5,,,,,,,,,2007-11-13T00:00:00.000Z,43.4894166667,1127,97.4428333333,,,,,100.0,Country,,,False,"Townsquare License, LLC",2631,,,Sioux Falls #1 for new country KIKN 100.5 new country KIKN 100.5,Sioux Falls #1 for new country KIKN 100.5,27.8862242052,,443,,43.546,"Sioux Falls, SD",-96.7313,FM,KICKIN COUNTRY 99.1 100.5,SD,2008-01-10T00:00:00.000Z,False,0.0,False,0.0
