HD_LastUpdate,HD_Notes,Interference,aant_rotation_deg,actual_erp,amsl,antenna_type,app_id,banner,base_callsign,bc_mode,bearing,callsign,city,class,class_flag,country,create_ts,digital_erp,distance,erp,erphpk,erpvpk,facility_id,field_strength,format,format2,format3,format_id,frequency,haat,hagl,hd2_format,hd2_slogan,hd3_format,hd3_slogan,hd4_format,hd4_slogan,index,language_id,last_update_ts,lat,level_0,lon,market,mlb,mode,nba,new_erp,new_format,nfl,nhl,npr,owner,pi_code,population,prl,ps_info,radiotext,range_flag,rank,receiver_hagl,relay,search_lat,search_location,search_lon,service_code,slogan,sp,status_date,strong_iboc,supertranslator,timeShare,uneven_polarization
,,[],,1.75,156.0,NDIR,25076f9189d741e80189daf7dfba0234,,WNVU,,30,WNVU,NEW ROCHELLE,A,4.0,USA,2023-08-09T11:43:44.977Z,0.175,13.38,1.75,1.75,1.75,28023,70.07,Spanish Religious,,,417.0,93.5,132.0,101.0,Christian Contemporary,WAY FM,Christian Worship,Worship 24/7,,,,,2023-08-10T00:00:00.000Z,40.8801111111,118,73.8773611111,,,HD,,1.75,Spanish Religious,,,False,Hope Media Group,7932,,,WNVU,Title & Artist,29.8953662182,,10,,40.7128,"New York, NY",-74.006,FM,VIDA UNIDA,NY,2023-09-07T00:00:00.000Z,True,0.0,False,0.0
,,[],,0.01,259.0,NDIR,01730d763b074a32a9efc1b6063ebeb7,,W220EJ,,19,W220EJ,WEEHAWKEN,D,3.5,USA,2019-03-14T20:10:50.829Z,,3.17,0.01,0.01,0.01,93996,72.77,Variety,,,35.0,91.9,,244.0,,,,,,,,,2017-06-30T00:00:00.000Z,40.7562222222,590,73.98625,New York,,,,0.01,Variety,,,False,Auricle Communications,,"16,662,000",,,,110.4100946372,1.0,10,WFMU 91.1,40.7128,"New York, NY",-74.006,FX,,NJ,2017-07-06T00:00:00.000Z,False,1.0,False,0.0
,,"['WFME-FM,Same Channel,72.95']",,0.105,181.0,DRL,efab64272cbe4910ad96c1b6063ebeb7,,W224CW,,237,W224CW,FRANKLIN TOWNSHIP,D,2.5,USA,2019-03-14T20:11:48.908Z,,29.41,0.105,0.105,0.105,143028,48.31,Ethnic,,,317.0,92.7,,151.0,,,,,,,,,2016-05-17T00:00:00.000Z,40.4791666667,638,74.4746944444,Middlesex-Somerset-Union,,,,0.105,Ethnic,,,False,RAHUL WALIA,D15B,"1,536,000",,,,8.5005100306,42.0,10,WPRB-HD2,40.7128,"New York, NY",-74.006,FX,RADIO MIRCHI,NJ,2016-06-02T00:00:00.000Z,False,0.0,False,0.0
,,"['WJLK-FM,Same Channel,49.36']",,0.075,162.0,NDIR,25076ff3958c41960195a9158aa80c46,,W232AL,,7,W232AL,POMONA,D,2.5,USA,2025-03-18T07:48:34.460Z,,9.84,0.075,0.075,0.075,24106,68.11,Contemporary Christian,,,12.0,94.3,135.0,77.0,,,,,,,,,2025-03-19T00:00:00.000Z,40.8541666667,746,73.9827777778,New York,,,,0.075,Contemporary Christian,,,False,Educational Media Foundation,0000,"16,662,000",,,,25.406504065,1.0,10,WPLJ -HD3,40.7128,"New York, NY",-74.006,FX,THE BRIDGE,NY,2025-04-07T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.027,284.0,DRL,3425cbbac1434cbcb61ac1b6063ebeb7,,W236CH,,36,W236CH,FORT GREENE,D,3.5,USA,2019-03-14T20:11:25.696Z,,3.39,0.027,0.027,0.027,139395,76.42,Contemporary Christian,,,12.0,95.1,,275.0,,,,,,,,,2016-10-12T00:00:00.000Z,40.7525555556,812,73.9679166667,New York,,,,0.027,Contemporary Christian,,,False,"BRIDGELIGHT, LLC",6E8B,"16,662,000",,Bridge,,103.2448377581,1.0,10,WPLJ-HD3,40.7128,"New York, NY",-74.006,FX,BRIDGE RADIO,NY,2016-10-25T00:00:00.000Z,False,1.0,False,0.0
,,"['W236CH,Same Channel,76.42', 'WAYV,Same Channel,29.75', 'WRKI,Same Channel,33.73', 'WZZO,Same Channel,33.97']",,0.124,166.9,DRL,25076f918a058ddc018a19b1de350c8e,,W236CT,,237,W236CT,WOODBRIDGE,D,2.5,USA,2023-08-21T16:03:21.703Z,,29.42,0.032062959,0.124,0.124,138032,42.35,Oldies,,,23.0,95.1,,137.0,,,,,,,,,2023-08-22T00:00:00.000Z,40.4791666667,814,74.4747222222,Middlesex-Somerset-Union,,,,0.124,Oldies,,,False,"SRN Communications, Inc.",FFFF,"1,536,000",,,,8.4976206662,42.0,10,WPRB-HD3,40.7128,"New York, NY",-74.006,FX,WOLD,NJ,2023-09-12T00:00:00.000Z,False,0.0,False,0.0
,,"['W240CY,Same Channel,38.12', 'WFOX,Same Channel,45.38', 'WNJI-LP,Same Channel,58.03', 'WRAT,Same Channel,38.37', 'WZYE-LP,Same Channel,57.37']",,0.19,84.0,DRL,d1478fde38d04b70bd6bc1b6063ebeb7,,W240DF,,102,W240DF,FREEPORT,D,3.5,USA,2019-03-14T20:11:25.696Z,,22.95,0.140524,0.19,0.19,139350,43.27,Ethnic,,,317.0,95.9,,82.0,,,,,,,,,2016-12-15T00:00:00.000Z,40.6456666667,867,73.5770833333,Nassau-Suffolk,,,,0.19,Ethnic,,,False,"WGBB-AM, INC.",,"2,564,000",,,,15.2505446623,20.0,10,WGBB-1240,40.7128,"New York, NY",-74.006,FX,,NY,2017-01-23T00:00:00.000Z,False,1.0,False,0.0
,,"['W244EE,Same Channel,35.22', 'WARW,Same Channel,72.91']",,0.09,98.0,DRL,25076f916fa4bb08016fafae326b0830,,W244DU,,234,W244DU,PARSIPPANY,D,2.5,USA,2020-01-16T13:47:06.548Z,,20.76,0.0830477124,0.09,0.09,141372,50.28,Ethnic,,,317.0,96.7,,31.0,,,,,,,,,2020-01-21T00:00:00.000Z,40.5348333333,938,74.3248611111,Middlesex-Somerset-Union,,,,0.09,Ethnic,,,False,Zindagi 967 FM LLC,,"1,536,000",,,,12.04238921,42.0,10,WWTR 1170,40.7128,"New York, NY",-74.006,FX,EBC RADIO 1170,NJ,2020-01-22T00:00:00.000Z,False,0.0,False,0.0
,,"['WALK-FM,Same Channel,44.64', 'WPEN,same-channel 5010,48.49']",,0.075,215.4,DRL,25076f9198d1eaab01991be5e3dd0c8d,,W248CG,,197,W248CG,NEW YORK,D,3.5,USA,2025-09-05T18:01:13.834Z,,0.54,3.6963e-05,0.075,0.075,140791,63.48,Religious Teaching,,,362.0,97.5,,213.0,,,,,,,,,2025-09-08T00:00:00.000Z,40.7053611111,1005,74.0090277778,New York,,,,0.075,Religious Teaching,,,False,"CANTICO NUEVO MINISTRY, INC.",,"16,662,000",,,,648.1481481481,1.0,10,WJDM-1520,40.7128,"New York, NY",-74.006,FX,RADIO CANTICO NUEVO,NY,2025-09-10T00:00:00.000Z,False,1.0,False,0.0
,,"['WKJY,Same Channel,62.88', 'WMGQ,Same Channel,58.28']",,0.12,118.2,DRL,25076ff386522791018684c299530f36,,W252CS,,7,W252CS,Palisades Park,D,2.5,USA,2023-02-24T13:49:51.122Z,,9.27,0.0704842752,0.12,0.12,155892,65.21,Ethnic,,,317.0,98.3,,21.3,,,,,,,,,2023-03-08T00:00:00.000Z,40.8460555556,1068,73.9851388889,New York,,,,0.12,Ethnic,,,False,"SOUND OF LONG ISLAND, INC.",,"16,662,000",,,,26.9687162891,1.0,10,WXBK-HD3,40.7128,"New York, NY",-74.006,FX,RADIO KOREA,NJ,2023-03-30T00:00:00.000Z,False,0.0,False,0.0
,,"['WHUD,Same Channel,55.36', 'WLEV,Same Channel,33.9', 'WZXL,Same Channel,25.21']",2.0,0.2,99.0,DRL,ac20677a62794d499a35c1b6063ebeb7,,W264BT,,238,W264BT,EDISON,D,3.5,USA,2019-03-14T20:11:51.018Z,,23.9,0.017594312,0.2,0.2,143711,40.22,Gospel Music,,,52.0,100.7,69.5,66.0,,,,,,,,,2013-08-21T00:00:00.000Z,40.5293055556,1245,74.3923055556,Middlesex-Somerset-Union,,,,0.2,Gospel Music,,,False,RAHUL WALIA,,"1,536,000",,,,14.6443514644,42.0,10,WKMB 1070,40.7128,"New York, NY",-74.006,FX,HARVEST RADIO,NJ,2013-09-25T00:00:00.000Z,False,1.0,False,0.0
,,"['WBAB,Same Channel,44.22', 'WBQE-LP,Same Channel,41.77', 'WSUS,same-channel 5010,39.23']",,0.25,146.0,DRL,a451eedf04a64380a0b1c1b6063ebeb7,,W272DX,,316,W272DX,NEW YORK,D,3.5,USA,2019-07-19T01:06:30.511Z,,13.22,0.015129,0.25,0.25,20656,54.77,Religious Teaching,,,362.0,102.3,,85.0,,,,,,,,,2019-07-18T00:00:00.000Z,40.8497222222,1363,74.1825555556,New York,,,,0.25,Religious Teaching,,,False,"SALEM MEDIA OF MASSACHUSETTS, LLC",D5F1,"16,662,000",,WMCA.com,,26.4750378215,1.0,10,WMCA-570,40.7128,"New York, NY",-74.006,FX,AM 570 THE MISSION WMCA,NY,2019-07-31T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.099,161.0,DRL,25076f919037c20101903b62b9fc002a,,W276AQ,,7,W276AQ,FORT LEE,D,2.5,USA,2024-06-21T11:20:42.503Z,,9.85,0.099,0.099,0.099,46437,69.81,Contemporary Christian,,,12.0,103.1,,76.0,,,,,,,,,2024-06-21T00:00:00.000Z,40.8542777778,1415,73.9829166667,New York,,,,0.099,Contemporary Christian,,,False,"BRIDGELIGHT, LLC",6E8B,"16,662,000",,THE BRIDGE,,25.3807106599,1.0,10,WNSH-HD4,40.7128,"New York, NY",-74.006,FX,BRIDGE RADIO,NJ,2024-07-01T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.099,456.6,DRL,25076ff39674f8390196832fdcc80456,,W284BW,,272,W284BW,NEW YORK,D,3.5,USA,2025-04-29T16:14:32.452Z,,0.37,0.0319622728,0.099,0.099,143664,96.35,Ethnic,,,317.0,104.7,415.0,452.3,,,,,,,,,2025-04-30T00:00:00.000Z,40.713,1561,74.0131388889,New York,,,,0.099,Ethnic,,,False,,8953,"16,662,000",,,,945.9459459459,1.0,10,WXNY-HD4,40.7128,"New York, NY",-74.006,FX,RADIO FREEDOM FM 104.7,NY,2025-05-21T00:00:00.000Z,False,1.0,False,0.0
,,[],,0.099,215.4,DRL,25076ff38bd01f3c018bd9fba126068f,,W300EI,,197,W300EI,NEW YORK,D,3.5,USA,2023-11-16T16:13:48.298Z,,0.54,0.0084584897,0.099,0.099,155888,87.07,Religious Teaching,,,362.0,107.9,,213.0,,,,,,,,,2023-11-17T00:00:00.000Z,40.7053611111,1810,74.0090277778,New York,,,,0.099,Religious Teaching,,,False,"APPLE 107.1, INC.",,"16,662,000",,,,648.1481481481,1.0,10,WJDM 1530,40.7128,"New York, NY",-74.006,FX,RADIO CANTICO NUEVO,NY,2023-11-28T00:00:00.000Z,False,1.0,False,0.0
,,"['W248CG,Same Channel,63.48', 'WPEN,Same Channel,39.54']",0.0,39.0,192.0,DRL,7fad2c3ba8ef4b7d9311c1b6063ebeb7,,WALK,,80,WALK-FM,PATCHOGUE,B,7.0,USA,2019-03-14T20:08:14.552Z,,51.71,26.2236,39.0,39.0,10137,44.64,Adult Hits,,,3.0,97.5,169.0,95.0,Mainstream Rock,94.3 The Shark //WWSK,,,,,,,1991-05-24T00:00:00.000Z,40.8448055556,1837,73.0331388889,Nassau-Suffolk,,HD,,39.0,Adult Hits,,,False,"Connoisseur Media Licenses, LLC",55D0,"2,564,000",,Long Island's Best Variety! WALK 97.5 Artist/Title,Long Island's Best Variety! WALK 97.5 Artist/Title,13.5370334558,20.0,10,,40.7128,"New York, NY",-74.006,FM,"REAL VARIETY FROM THE 90S, 2K AND TODAY",NY,1991-07-25T00:00:00.000Z,False,0.0,False,0.0
,,[],,3.1,169.0,NDIR,c3c302f1eda448b993cac1b6063ebeb7,,WARW,,40,WARW,PORT CHESTER,A,4.0,USA,2019-03-14T20:08:16.926Z,,18.11,3.1,3.1,3.1,10659,72.91,Contemporary Christian,,,12.0,96.7,143.0,141.0,2000s Christian Music,K-Love 2000s,Spanish Christian,Radio Nueva Vida,,,,,2011-06-16T00:00:00.000Z,40.9123333333,1858,73.7815277778,New York,,HD,,3.1,Contemporary Christian,,,False,EDUCATIONAL MEDIA FOUNDATION,5678,"16,662,000",,Air 1,Song/Artist - AIR 1,22.0872446162,1.0,10,,40.7128,"New York, NY",-74.006,FM,AIR1,NY,2011-07-05T00:00:00.000Z,False,0.0,False,0.0
,,[],0.0,28.0,265.0,DRL,b40a43b658554f55b0bac1b6063ebeb7,,WAWZ,,257,WAWZ,ZAREPHATH,B,7.0,USA,2019-03-14T20:09:25.070Z,,30.36,24.20157852,28.0,28.0,52601,76.87,Contemporary Christian,,,12.0,99.1,200.0,85.0,Gospel,Star 99.1 HD2 Gospel,Christian Hip Hop,The New FLO,,,,,2003-07-02T00:00:00.000Z,40.6115,1871,74.5696111111,Middlesex-Somerset-Union,,HD,,28.0,Contemporary Christian,,,False,"Pillar Ministries, Inc.",56FD,"1,536,000",,Star99.1,Title & Artist,23.0566534914,42.0,10,,40.7128,"New York, NY",-74.006,FM,STAR 99-1,NJ,2003-07-21T00:00:00.000Z,False,0.0,False,0.0
,,[],,6.0,429.0,NDIR,c57ec405dc10477e92e1c1b6063ebeb7,,WAXQ,,23,WAXQ,NEW YORK,B,7.0,USA,2019-03-14T20:08:40.131Z,0.239,2.68,6.0,6.0,6.0,23004,102.03,Classic Rock,,,8.0,104.3,415.0,413.0,Talk,710 WOR,,,,,,,1996-04-26T00:00:00.000Z,40.7484166667,1872,73.9856944444,New York,,HD,,6.0,Classic Rock,Jets,,False,iHeartMedia,170E,"16,662,000",,Q104.3 New York's Classic Rock | Classic Rock Q104.3 Title & Artist,Q104.3 New York's Classic Rock | Classic Rock Q104.3 Title & Artist,261.1940298507,1.0,10,,40.7128,"New York, NY",-74.006,FM,Q104.3,NY,1996-07-19T02:00:00.000Z,True,0.0,False,0.0
,,"['W272DX,Same Channel,54.77', 'WBQE-LP,Same Channel,41.77', 'WSUS,Same Channel,34.24']",,6.0,116.0,NDIR,1974059de2ee4973b6f9c1b6063ebeb7,,WBAB,,80,WBAB,BABYLON,A,4.0,USA,2019-03-14T20:10:02.620Z,0.24,35.62,6.0,6.0,6.0,71199,44.22,Classic Rock,,,8.0,102.3,82.0,58.0,,,,,,,,,1999-03-12T00:00:00.000Z,40.7995277778,1879,73.3351111111,Nassau-Suffolk,,HD,,6.0,Classic Rock,,,False,"CMG NY/Texas Radio, LLC",574D,"2,564,000",,WBAB,-,11.2296462661,20.0,10,,40.7128,"New York, NY",-74.006,FM,WBAB 102.3,NY,1999-06-12T06:00:00.000Z,True,0.0,False,0.0
,,[],,10.0,297.0,NDIR,69bd0af37e6b456096edc1b6063ebeb7,,WBAI,,19,WBAI,NEW YORK,B,7.0,USA,2019-03-14T20:09:21.648Z,,3.17,10.0,10.0,10.0,51249,102.77,Variety,,,35.0,99.5,282.3,282.0,,,,,,,,,2019-03-08T00:00:00.000Z,40.7562222222,1880,73.98625,New York,,,,10.0,Variety,,,False,"PACIFICA FOUNDATION, INC.",5754,"16,662,000",,WBAI FM,WBAI 99.5 FM,220.8201892744,1.0,10,,40.7128,"New York, NY",-74.006,FM,PACIFICA RADIO 99.5,NY,2019-03-11T00:00:00.000Z,False,0.0,False,0.0
,,[],0.0,2.5,284.0,DRL,e244b05bc31d4e27aab2c1b6063ebeb7,,WBGO,,19,WBGO,NEWARK,B1,6.0,USA,2019-03-14T20:09:14.849Z,,3.17,2.116,2.5,2.5,48699,96.03,Jazz,,,17.0,88.3,269.2,269.0,Jazz,The Jazz Bee,,,,,,,2011-12-13T00:00:00.000Z,40.7562222222,1912,73.98625,New York,,HD,,2.5,Jazz,,,True,"Newark Public Radio, Inc.",57F6,"16,662,000",,Jazz,WBGO.org/support,189.2744479495,1.0,10,,40.7128,"New York, NY",-74.006,FM,JAZZ 88,NJ,2011-12-20T00:00:00.000Z,False,0.0,False,0.0
,NO HD ON THIS STATION,"['WJFF,same-channel 5010,38.5', 'WJSV,Same Channel,38.87', 'WFUV,adjacent,77.76', 'WFUV-FM3,adjacent,75.56', 'WHPC,IBOC,43.19']",,0.9,140.0,DRL,a9e5d7c2a2344f79baf6c1b6063ebeb7,,WBJB,,194,WBJB-FM,LINCROFT,A,4.0,USA,2019-03-14T20:08:06.275Z,,27.8,0.1648656,0.9,0.9,7116,49.16,Adult Alternative,,,38.0,90.5,113.0,122.0,,,,,,,,,1998-11-23T00:00:00.000Z,40.3220555556,1920,74.1320833333,Monmouth-Ocean,,,,0.9,Adult Alternative,,,True,BROOKDALE COMMUNITY COLLEGE,5837,"1,107,200",,TheNIGHT,-,14.3884892086,52.0,10,,40.7128,"New York, NY",-74.006,FM,90.5 THE NIGHT,NJ,1999-03-08T06:00:00.000Z,False,0.0,False,0.0
,,[],,4.2,429.0,NDIR,71b2fd6fa4544bf1a9bcc1b6063ebeb7,,WBLS,,23,WBLS,NEW YORK,B,7.0,USA,2019-03-14T20:08:47.903Z,,2.68,4.2,4.2,4.2,28203,100.48,R&B,,,27.0,107.5,415.0,413.0,Spanish AC,La Luna,,,,,,,1994-02-04T00:00:00.000Z,40.7484166667,1933,73.9856944444,New York,,HD,,4.2,R&B,,,False,Mediaco WBLS License LLC,587C,"16,662,000",,WBLS,107.5 WBLS - Your #1 Source for R&B,261.1940298507,1.0,10,,40.7128,"New York, NY",-74.006,FM,107.5 WBLS,NY,1994-11-21T00:00:00.000Z,False,0.0,False,0.0
,,"['W272DX,Same Channel,54.77', 'WBAB,Same Channel,44.22', 'WSUS,Same Channel,34.24']",,0.01,105.199997,NDIR,90b9717827984e0f9083c1b6063ebeb7,,WBQE-LP,,219,WBQE-LP,BROOKLYN,LP100,2.5,USA,2019-03-14T20:14:00.710Z,,10.13,0.01,0.01,0.01,195203,41.77,Variety,,,35.0,102.3,94.0,15.2,,,,,,,,,2017-11-06T00:00:00.000Z,40.5985,1952,74.127,New York,,,,0.01,Variety,,,False,EDUCATIONAL LAB INC.,,"16,662,000",,,,24.6791707799,1.0,10,,40.7128,"New York, NY",-74.006,FL,,NY,2017-11-15T00:00:00.000Z,False,0.0,False,0.0
,,[],,6.7,422.0,NDIR,13f631bf6ee04967b3a6c1b6063ebeb7,,WCBS,,23,WCBS-FM,NEW YORK,B,7.0,USA,2019-03-14T20:08:11.284Z,0.267,2.68,6.7,6.7,6.7,9611,102.51,Classic Hits,,,7.0,101.1,408.0,407.0,Sports,880 ESPN //WHSQ-AM,Caribbean music,Roadblock Radio,,,,,2006-03-01T00:00:00.000Z,40.7484444444,2013,73.9856944444,New York,,HD,,6.7,Classic Hits,,,False,"Audacy License, LLC",5A1C,"16,662,000",,Title & Artist,Title & Artist,261.1940298507,1.0,10,,40.7128,"New York, NY",-74.006,FM,NEW YORK'S GREATEST HITS 101.1,NY,2006-04-11T00:00:00.000Z,True,0.0,False,0.0
,,"['WDMB-LP,Same Channel,47.39', 'WQEQ-LP,Same Channel,47.39']",,1.0,354.0,NDIR,c70ab33090da48bcbc76c1b6063ebeb7,,WDHA,,291,WDHA-FM,DOVER,A,4.0,USA,2019-03-14T20:09:17.814Z,0.01,28.22,1.0,1.0,1.0,49587,57.53,Rock,,,62.0,105.5,175.0,39.0,,,,,,,,,2016-11-07T00:00:00.000Z,40.8559166667,2156,74.51125,Morristown,,HD,,1.0,Rock,,,False,"BEASLEY MEDIA GROUP LICENSES, LLC",5D4A,"448,600",,WDHA-FM,The Rock of New Jersey,14.1743444366,123.0,10,,40.7128,"New York, NY",-74.006,FM,JERSEY'S OWN ROCK RADIO,NJ,2016-11-28T00:00:00.000Z,False,0.0,False,0.0
,,"['WDHA-FM,Same Channel,57.53', 'WQEQ-LP,Same Channel,47.39']",,0.019,88.0,NDIR,f01e0318345e4912aed2c1b6063ebeb7,,WDMB-LP,,80,WDMB-LP,QUEENS,LP100,2.5,USA,2019-03-14T20:14:07.466Z,,14.48,0.019,0.019,0.019,197220,47.39,Religious Teaching,,,362.0,105.5,69.0,40.0,,,,,,,,,2017-11-13T00:00:00.000Z,40.7477222222,2167,73.7333055556,New York,,,,0.019,Religious Teaching,,,False,THE ROMAN CATHOLIC DIOCESE OF BROOKLYN,,"16,662,000",,,,17.2651933702,1.0,10,,40.7128,"New York, NY",-74.006,FL,,NY,2017-11-22T00:00:00.000Z,False,0.0,True,0.0
,,"['W300CZ,Same Channel,39.4', 'W300EI,Same Channel,87.07']",,20.5,287.0,NDIR,25076ff3720ae6fb01720f3159b20000,,WEBE,,47,WEBE,WESTPORT,B,7.0,USA,2020-05-13T13:59:51.831Z,,57.99,20.5,20.5,20.5,71389,51.14,Adult Contemporary,,,40.0,107.9,202.0,128.0,Talk,WICC 600,,,,,,,2020-09-15T00:00:00.000Z,41.2789722222,2196,73.1851111111,Metro Fairfield County,,HD,,20.5,Adult Contemporary,,,False,"Connoisseur Media Licenses, LLC",5F56,"753,100",,WEBE108,WEBE108 Connecticut's Best Music Variety,12.0710467322,74.0,10,,40.7128,"New York, NY",-74.006,FM,CONNECTICUT'S BEST MUSIC VARIETY,CT,2020-09-18T00:00:00.000Z,False,0.0,False,0.0
,,[],,6.0,429.0,NDIR,931335d3cbba4d06a22cc1b6063ebeb7,,WEPN,,23,WEPN-FM,NEW YORK,B,7.0,USA,2019-03-14T20:09:48.951Z,,2.68,6.0,6.0,6.0,63781,102.03,Adult Contemporary,,,40.0,98.7,415.0,413.0,,,,,,,,,2010-04-14T00:00:00.000Z,40.7484444444,2230,73.9856944444,New York,,HD,,6.0,Adult Contemporary,,,False,Emmis New York Radio License LLC,A6CB,"16,662,000",,,,261.1940298507,1.0,10,,40.7128,"New York, NY",-74.006,FM,LA EXITOSA 98.7,NY,2010-05-19T00:00:00.000Z,False,0.0,False,0.0
,,"['WODE-FM,Same Channel,37.08']",,27.5,289.0,NDIR,d62921f008cf40d1a77ec1b6063ebeb7,,WEZN,,47,WEZN-FM,BRIDGEPORT,B,7.0,USA,2019-03-14T20:09:15.869Z,0.275,57.99,27.5,27.5,27.5,48721,52.29,Adult Contemporary,,,40.0,99.9,204.0,128.0,,,,,,,,,2013-01-31T00:00:00.000Z,41.2789722222,2263,73.1851111111,Metro Fairfield County,,HD,,27.5,Adult Contemporary,,,False,"CONNOISSEUR MEDIA LICENSES, LLC",61CF,"753,100",,STAR99.9,Title & Artist on Star 99.9,12.0710467322,74.0,10,,40.7128,"New York, NY",-74.006,FM,STAR 99.9 TODAY'S BEST MIX,CT,2013-02-19T00:00:00.000Z,False,0.0,False,0.0
,,[],,6.0,428.0,NDIR,6fee44ee39e149f49bc6c1b6063ebeb7,,WFAN,,23,WFAN-FM,NEW YORK,B,7.0,USA,2019-03-14T20:09:55.987Z,,2.68,6.0,6.0,6.0,67846,102.03,Sports,,,29.0,101.9,415.0,413.0,Sports,Infinity Sports Network,BetMGM Network,The Bet,,,,,2017-03-28T00:00:00.000Z,40.7484444444,2267,73.9856944444,New York,Yankees,HD,,6.0,Sports,NYGiants,,False,"Audacy License, LLC",61E9,"16,662,000",,WFAN Sports Radio,WFAN-FM New York Sports Radio 101.9 FM,261.1940298507,1.0,10,,40.7128,"New York, NY",-74.006,FM,THE FAN,NY,2017-04-05T00:00:00.000Z,False,0.0,False,0.0
,,"['WNYU-FM,Same Channel,74.0', 'WNYU-FM1,Same Channel,79.29']",,3.0,235.5,DRL,738cbcddab4245daa78dc1b6063ebeb7,,WFDU,,14,WFDU,TEANECK,B1,6.0,USA,2019-03-14T20:08:34.350Z,0.119,17.69,1.99169712,3.0,3.0,20458,74.25,Oldies,,,23.0,89.1,195.0,77.0,Variety,Eclectic Sound,College,Student Voice of FDU,,,,,2015-11-03T00:00:00.000Z,40.9609444444,2277,73.9226388889,New York,,HD,,3.0,Oldies,,,False,Fairleigh Dickinson University,623E,"16,662,000",,,,33.9174674958,1.0,10,,40.7128,"New York, NY",-74.006,FM,,NJ,2015-11-10T00:00:00.000Z,True,0.0,False,0.0
,,[],0.0,2.0,176.0,DRL,25076f917e93a167017ebb6791684089,,WFME,,79,WFME-FM,GARDEN CITY,A,4.0,USA,2022-02-02T12:07:13.716Z,,15.59,1.98005,2.0,2.0,30573,72.95,Religious Teaching,,,362.0,92.7,159.0,104.0,,,,,,,,,2022-02-25T00:00:00.000Z,40.7573333333,2293,73.7140277778,Nassau-Suffolk,,,,2.0,Religious Teaching,,,False,"LOAM MEDIA, INC.",6318,"2,564,000",,FAMILY RADIO,Title & Artist,25.6574727389,20.0,10,,40.7128,"New York, NY",-74.006,FM,FAMILY RADIO,NY,2022-03-07T00:00:00.000Z,False,0.0,False,0.0
,,[],,1.25,217.0,NDIR,05512bac55fd4382b37bc1b6063ebeb7,,WFMU,,292,WFMU,EAST ORANGE,A,4.0,USA,2019-03-14T20:07:49.094Z,,14.06,1.25,1.25,1.25,3249,78.58,Variety,,,35.0,91.1,151.0,28.0,,,,,,,,,2005-04-08T00:00:00.000Z,40.7886944444,2296,74.2551388889,New York,,,,1.25,Variety,,,False,AURICLE COMMUNICATIONS,6328,"16,662,000",,WFMU.org,WFMU,28.4495021337,1.0,10,,40.7128,"New York, NY",-74.006,FM,,NJ,2005-08-08T00:00:00.000Z,False,0.0,False,0.0
,HD TURNED OFF,"['W240CY,Same Channel,38.12', 'W240DF,Same Channel,43.27', 'WNJI-LP,Same Channel,58.03', 'WRAT,Same Channel,38.37', 'WZYE-LP,Same Channel,57.37']",,3.0,143.0,NDIR,d5cbfd77ef8a45bcb31cc1b6063ebeb7,,WFOX,,47,WFOX,SOUTHPORT,A,4.0,USA,2019-03-14T20:08:24.190Z,,40.8,3.0,3.0,3.0,14379,45.38,News/Talk,Talk,,21.0,95.9,91.0,108.0,,,,,,,,,2014-11-18T00:00:00.000Z,41.1156666667,2306,73.4345555556,Metro Fairfield County,,,,3.0,News,,,False,"CONNOISSEUR MEDIA LICENSES, LLC",635F,"753,100",,,,9.8039215686,74.0,10,WICC 600,40.7128,"New York, NY",-74.006,FM,,CT,2014-12-15T00:00:00.000Z,False,0.0,False,0.0
,HD TURNED OFF,"['WFUV-FM3,Same Channel,75.56']",,47.0,178.6,DRL,dff851e9faff4c90b2d5c1b6063ebeb7,,WFUV,,30,WFUV,NEW YORK,B,7.0,USA,2019-03-14T20:08:37.835Z,,13.38,7.862207,47.0,47.0,22033,77.76,Adult Alternative/Folk,Folk,,308.0,90.7,155.0,123.7,,,,,,,,,2009-12-14T00:00:00.000Z,40.8801111111,2327,73.8773611111,New York,,,,47.0,Adult Alternative,,,True,FORDHAM UNIVERSITY,63F9,"16,662,000",,,,52.3168908819,1.0,10,,40.7128,"New York, NY",-74.006,FM,NY'S MUSIC DISCOVERY,NY,2009-12-22T00:00:00.000Z,False,0.0,False,0.0
,,"['WHPC,Same Channel,43.19', 'WKNJ-FM,Same Channel,39.11', 'WKRB,Same Channel,42.96', 'WMSC,Same Channel,46.68', 'WNEQ,Same Channel,49.24', 'WVPH,Same Channel,46.14']",,0.008,102.0,OTS,93213e8ab11340a0a237c1b6063ebeb7,,WHCR,,22,WHCR-FM,NEW YORK,D,2.5,USA,2019-03-14T20:08:18.362Z,,7.93,0.008,0.008,0.008,11412,51.57,Variety,,,35.0,90.3,81.0,60.0,,,,,,,,,1986-06-26T00:00:00.000Z,40.81925,2403,73.9492777778,New York,,,,0.008,Variety,,,False,City College of New York,,"16,662,000",,,,31.525851198,1.0,10,,40.7128,"New York, NY",-74.006,FM,THE VOICE OF HARLEM,NY,1987-09-02T00:00:00.000Z,False,0.0,False,0.0
